Time Stamp,Sensor Value
2025-03-15T15:34:07.663840+05:30,Sensor Value: 125
2025-03-15T15:34:09.666273+05:30,Sensor Value: 126
2025-03-15T15:34:11.672118+05:30,Sensor Value: 136
2025-03-15T15:34:13.679080+05:30,Sensor Value: 137
2025-03-15T15:34:15.678139+05:30,Sensor Value: 139
2025-03-15T15:34:17.676204+05:30,Sensor Value: 130
2025-03-15T15:34:19.684799+05:30,Sensor Value: 132
2025-03-15T15:34:21.686070+05:30,Sensor Value: 147
2025-03-15T15:34:23.683207+05:30,Sensor Value: 146
2025-03-15T15:34:25.683067+05:30,Sensor Value: 131
2025-03-15T15:34:27.689233+05:30,Sensor Value: 143
2025-03-15T15:34:29.690091+05:30,Sensor Value: 140
2025-03-15T15:34:31.691206+05:30,Sensor Value: 144
2025-03-15T15:34:33.698384+05:30,Sensor Value: 146
2025-03-15T15:34:35.699196+05:30,Sensor Value: 143
2025-03-15T15:34:37.695529+05:30,Sensor Value: 143
2025-03-15T15:34:39.702133+05:30,Sensor Value: 136
2025-03-15T15:34:41.702636+05:30,Sensor Value: 140
2025-03-15T15:34:43.707348+05:30,Sensor Value: 138
2025-03-15T15:34:45.702271+05:30,Sensor Value: 142
2025-03-15T15:34:47.709237+05:30,Sensor Value: 144
2025-03-15T15:34:49.709391+05:30,Sensor Value: 140
2025-03-15T15:34:51.709008+05:30,Sensor Value: 142
2025-03-15T15:34:53.708883+05:30,Sensor Value: 142
2025-03-15T15:34:55.707841+05:30,Sensor Value: 136
2025-03-15T15:34:57.719366+05:30,Sensor Value: 127
2025-03-15T15:34:59.714697+05:30,Sensor Value: 130
2025-03-15T15:35:01.715931+05:30,Sensor Value: 142
2025-03-15T15:35:03.717771+05:30,Sensor Value: 136
2025-03-15T15:35:05.725428+05:30,Sensor Value: 128
2025-03-15T15:35:07.728115+05:30,Sensor Value: 127
2025-03-15T15:35:09.721398+05:30,Sensor Value: 132
2025-03-15T15:35:11.728697+05:30,Sensor Value: 137
2025-03-15T15:35:13.731221+05:30,Sensor Value: 146
2025-03-15T15:35:15.727689+05:30,Sensor Value: 141
2025-03-15T15:35:17.731963+05:30,Sensor Value: 138
2025-03-15T15:35:19.734038+05:30,Sensor Value: 139
2025-03-15T15:35:21.732618+05:30,Sensor Value: 129
2025-03-15T15:35:23.734512+05:30,Sensor Value: 128
2025-03-15T15:35:25.734715+05:30,Sensor Value: 133
2025-03-15T15:35:27.742620+05:30,Sensor Value: 128
2025-03-15T15:35:29.740130+05:30,Sensor Value: 131
2025-03-15T15:35:31.739614+05:30,Sensor Value: 142
2025-03-15T15:35:33.742630+05:30,Sensor Value: 145
2025-03-15T15:35:35.744960+05:30,Sensor Value: 129
2025-03-15T15:35:37.745631+05:30,Sensor Value: 136
2025-03-15T15:35:39.746834+05:30,Sensor Value: 142
2025-03-15T15:35:41.750462+05:30,Sensor Value: 144
2025-03-15T15:35:43.748591+05:30,Sensor Value: 142
2025-03-15T15:35:45.754364+05:30,Sensor Value: 144
2025-03-15T15:35:47.751460+05:30,Sensor Value: 146
2025-03-15T15:35:49.750555+05:30,Sensor Value: 147
2025-03-15T15:35:51.758295+05:30,Sensor Value: 143
2025-03-15T15:35:53.754627+05:30,Sensor Value: 142
2025-03-15T15:35:55.757958+05:30,Sensor Value: 137
2025-03-15T15:35:57.757015+05:30,Sensor Value: 126
2025-03-15T15:35:59.766629+05:30,Sensor Value: 136
2025-03-15T15:36:01.764576+05:30,Sensor Value: 141
2025-03-15T15:36:03.762769+05:30,Sensor Value: 141
2025-03-15T15:36:05.763545+05:30,Sensor Value: 139
2025-03-15T15:36:07.769372+05:30,Sensor Value: 139
2025-03-15T15:36:09.768466+05:30,Sensor Value: 140
2025-03-15T15:36:11.774291+05:30,Sensor Value: 128
2025-03-15T15:36:13.768846+05:30,Sensor Value: 137
